央视,#genre#
CCTV1 ,http://192.168.30.1:7088/rtp/239.77.0.86:5146
CCTV2 ,http://192.168.30.1:7088/rtp/239.77.0.137:5146
CCTV3 ,http://192.168.30.1:7088/rtp/239.77.0.169:5146
CCTV4 ,http://192.168.30.1:7088/rtp/239.77.0.78:5146
CCTV5 ,http://192.168.30.1:7088/rtp/239.77.0.170:5146
CCTV5+ ,http://192.168.30.1:7088/rtp/239.77.0.87:5146
CCTV6 ,http://192.168.30.1:7088/rtp/239.77.0.171:5146
CCTV7 ,http://192.168.30.1:7088/rtp/239.77.0.138:5146
CCTV8 ,http://192.168.30.1:7088/rtp/239.77.0.172:5146
CCTV9 ,http://192.168.30.1:7088/rtp/239.77.0.135:5146
CCTV10 ,http://192.168.30.1:7088/rtp/239.77.0.134:5146
CCTV11 ,http://192.168.30.1:7088/rtp/239.77.1.238:5146
CCTV12 ,http://192.168.30.1:7088/rtp/239.77.0.136:5146
CCTV13 ,http://192.168.30.1:7088/rtp/239.77.0.188:5146
CCTV14 ,http://192.168.30.1:7088/rtp/239.77.0.133:5146
CCTV15 ,http://192.168.30.1:7088/rtp/239.77.1.239:5146
CCTV16 ,http://192.168.30.1:7088/rtp/239.77.0.165:5146
CCTV17 ,http://192.168.30.1:7088/rtp/239.77.0.198:5146
少儿,#genre#
卡酷动画 ,http://192.168.30.1:7088/rtp/239.77.0.79:5146
哈哈炫动 ,http://192.168.30.1:7088/rtp/239.77.0.81:5146
金鹰卡通 ,http://192.168.30.1:7088/rtp/239.77.0.164:5146
优漫卡通 ,http://192.168.30.1:7088/rtp/239.77.0.222:5146
嘉佳卡通 ,http://192.168.30.1:7088/rtp/239.77.0.179:5146
广东,#genre#
广东少儿 ,http://192.168.30.1:7088/rtp/239.77.0.250:5146
广东珠江 ,http://192.168.30.1:7088/rtp/239.77.0.114:5146
广东新闻 ,http://192.168.30.1:7088/rtp/239.77.0.173:5146
广东民生 ,http://192.168.30.1:7088/rtp/239.77.0.225:5146
